DoctorID,Name,Specialization,Experience,Location,Rating
Doc001,Ekta Vohra,Neurologist,33,Agra,1.5
Doc002,Caleb Kant,Orthopedic,7,Lucknow,3.2
Doc003,Ojas Shukla,Orthopedic,39,Lucknow,2.5
Doc004,Vrishti Mukhopadhyay,Orthopedic,9,Lucknow,1.7
Doc005,Sara Ramachandran,Neurologist,39,Pune,3.6
Doc006,Eta Mutti,Neurologist,12,Delhi,4.0
Doc007,Yadavi Memon,Orthopedic,15,Nagpur,1.5
Doc008,Madhavi Nagar,Cardiologist,14,Bangalore,3.1
Doc009,Jhalak Verma,Orthopedic,21,Pune,3.7
Doc010,Saumya Bahl,Dermatologist,24,Bhopal,3.2
Doc011,Garima Palla,Neurologist,31,Surat,4.6
Doc012,Mitali Jain,Pediatrician,29,Hyderabad,4.3
Doc013,Lavanya Kaul,Dermatologist,37,Nagpur,2.5
Doc014,Laksh Pandya,Neurologist,27,Kanpur,1.5
Doc015,Urvi Basu,Neurologist,17,Lucknow,2.4
Doc016,Zaitra Andra,Orthopedic,6,Indore,1.4
Doc017,Damyanti Ramaswamy,Dermatologist,38,Pune,4.7
Doc018,Omya Rattan,Dermatologist,37,Chennai,1.6
Doc019,Ubika Mohan,Dermatologist,34,Bhopal,4.6
Doc020,Chaman Nadig,Dermatologist,2,Kanpur,4.1
Doc021,Michael Mall,Neurologist,36,Nagpur,5.0
Doc022,Panini Chowdhury,Dermatologist,18,Hyderabad,2.5
Doc023,Oscar Nigam,Dermatologist,12,Mumbai,3.0
Doc024,Varenya Madan,Orthopedic,7,Agra,3.4
Doc025,Hamsini Sood,Dermatologist,16,Kolkata,3.9
Doc026,Chatresh Merchant,Neurologist,10,Kanpur,2.0
Doc027,Ekavir Chowdhury,Cardiologist,1,Indore,2.2
Doc028,Adweta Walia,Neurologist,34,Mumbai,2.9
Doc029,Theodore Wali,Dermatologist,31,Hyderabad,4.1
Doc030,Rayaan Goyal,Orthopedic,20,Lucknow,4.2
Doc031,Janaki Sahni,Orthopedic,28,Lucknow,3.2
Doc032,Chaitanya Pillay,Neurologist,17,Indore,3.4
Doc033,Ikshita Goel,Cardiologist,7,Delhi,4.7
Doc034,Mekhala Krishnan,Orthopedic,29,Jaipur,2.4
Doc035,Nathan Kala,Cardiologist,27,Surat,2.2
Doc036,Wyatt Mahajan,Pediatrician,2,Kanpur,4.2
Doc037,Ojas Jayaraman,Dermatologist,21,Ahmedabad,4.1
Doc038,Dhruv Gokhale,Cardiologist,1,Bangalore,3.8
Doc039,Dhruv Chandran,Neurologist,34,Jaipur,4.9
Doc040,Hritik Mittal,Neurologist,16,Bhopal,1.4
Doc041,Amruta Varughese,Neurologist,3,Kanpur,3.2
Doc042,Raksha Gandhi,Dermatologist,39,Ludhiana,5.0
Doc043,Umang Tandon,Orthopedic,22,Kanpur,1.5
Doc044,Vihaan Lata,Pediatrician,20,Patna,3.8
Doc045,Jeet Banik,Pediatrician,40,Nagpur,1.0
Doc046,Kamala Rajagopalan,Dermatologist,15,Hyderabad,4.0
Doc047,Arya Hayer,Orthopedic,8,Agra,1.1
Doc048,Yatan Lanka,Neurologist,6,Pune,3.4
Doc049,Anusha Vora,Pediatrician,39,Mumbai,4.2
Doc050,Chandani Gokhale,Neurologist,16,Chennai,2.5
Doc051,Jacob Sarma,Dermatologist,33,Hyderabad,4.3
Doc052,Baljiwan Loyal,Cardiologist,9,Pune,4.6
Doc053,Owen Wali,Orthopedic,35,Indore,3.3
Doc054,Eesha Jhaveri,Pediatrician,23,Ahmedabad,3.2
Doc055,Ekbal Solanki,Orthopedic,36,Lucknow,1.2
Doc056,Akshay Lad,Orthopedic,12,Indore,2.8
Doc057,Tamanna Krishnan,Neurologist,1,Mumbai,1.7
Doc058,Yagnesh Parmar,Cardiologist,12,Nagpur,4.3
Doc059,Vamakshi Walia,Cardiologist,36,Hyderabad,5.0
Doc060,Aradhana Upadhyay,Pediatrician,15,Bangalore,2.8
Doc061,Rishi Sathe,Dermatologist,34,Lucknow,4.4
Doc062,Anusha Buch,Dermatologist,21,Bangalore,2.7
Doc063,Chakrika Devan,Cardiologist,32,Lucknow,3.6
Doc064,Faraj Mannan,Neurologist,6,Kanpur,4.3
Doc065,Shravya Hayre,Pediatrician,32,Indore,1.1
Doc066,Chandran Dube,Neurologist,21,Ludhiana,4.6
Doc067,Damyanti Banik,Pediatrician,14,Bangalore,1.3
Doc068,Triya Pillay,Pediatrician,25,Indore,4.5
Doc069,Qushi Chopra,Neurologist,18,Nagpur,1.9
Doc070,Qushi Ratti,Pediatrician,8,Patna,4.1
Doc071,Krisha Muni,Pediatrician,15,Chennai,3.9
Doc072,Gavin Mistry,Neurologist,38,Indore,3.6
Doc073,Ijaya Madan,Cardiologist,25,Lucknow,3.1
Doc074,Naksh Warrior,Pediatrician,29,Kolkata,2.2
Doc075,Abhimanyu Dhillon,Cardiologist,35,Mumbai,4.7
Doc076,Unnati Kara,Cardiologist,7,Patna,2.2
Doc077,Caleb Muni,Cardiologist,15,Patna,3.0
Doc078,Ijaya Deshpande,Cardiologist,23,Lucknow,2.7
Doc079,Oeshi Parekh,Cardiologist,24,Hyderabad,4.5
Doc080,Rushil Kale,Pediatrician,15,Delhi,3.8
Doc081,Anthony Gade,Neurologist,22,Patna,2.5
Doc082,Chandresh Krish,Pediatrician,28,Ludhiana,2.3
Doc083,Oni Kala,Dermatologist,32,Delhi,1.6
Doc084,Lopa Walla,Neurologist,13,Lucknow,4.6
Doc085,Warda Rajagopal,Cardiologist,3,Kolkata,3.8
Doc086,Avni Reddy,Pediatrician,1,Pune,4.7
Doc087,Janani Mandal,Cardiologist,23,Indore,1.5
Doc088,Hritik Nadig,Orthopedic,22,Chennai,4.5
Doc089,Vinaya Kunda,Orthopedic,38,Jaipur,1.4
Doc090,Gavin Ahuja,Dermatologist,14,Kolkata,4.6
Doc091,Vaishnavi Bala,Orthopedic,26,Pune,3.7
Doc092,Farhan Varty,Cardiologist,2,Bangalore,1.6
Doc093,Dhruv Dugar,Neurologist,1,Chennai,3.6
Doc094,Vaishnavi Sheth,Orthopedic,24,Agra,4.9
Doc095,Jhalak Batta,Dermatologist,25,Indore,2.8
Doc096,Vansha Sem,Pediatrician,15,Agra,2.3
Doc097,Arjun Gokhale,Orthopedic,23,Ludhiana,2.6
Doc098,Ekani Babu,Pediatrician,8,Bangalore,1.3
Doc099,Vrinda Cheema,Neurologist,28,Ludhiana,1.4
Doc100,Netra Joshi,Pediatrician,18,Lucknow,2.7
Doc101,Chakrika Nadig,Neurologist,36,Kolkata,1.8
Doc102,Mitesh Hora,Orthopedic,4,Mumbai,1.3
Doc103,Aahana Agarwal,Orthopedic,26,Pune,2.8
Doc104,Urvashi Raghavan,Orthopedic,21,Jaipur,2.1
Doc105,Victor Pal,Pediatrician,30,Indore,1.3
Doc106,Manthan Batra,Cardiologist,24,Ahmedabad,4.2
Doc107,Farhan Shetty,Orthopedic,4,Ludhiana,1.2
Doc108,Chavvi Dada,Dermatologist,29,Lucknow,2.2
Doc109,Deepa Kapur,Dermatologist,18,Bangalore,1.9
Doc110,Sai Singh,Dermatologist,4,Kanpur,3.5
Doc111,Anthony Chhabra,Neurologist,33,Indore,2.8
Doc112,Robert Parikh,Pediatrician,21,Bangalore,2.1
Doc113,Vansha Krishnamurthy,Neurologist,25,Bhopal,2.8
Doc114,Radhika Raju,Dermatologist,36,Lucknow,1.1
Doc115,Leela Korpal,Orthopedic,16,Kolkata,1.8
Doc116,Ati Hora,Dermatologist,23,Pune,4.2
Doc117,Widisha Mital,Neurologist,6,Mumbai,4.8
Doc118,Xavier Roy,Cardiologist,32,Ahmedabad,4.7
Doc119,Liam Chhabra,Cardiologist,21,Ahmedabad,3.3
Doc120,Abha Borde,Dermatologist,27,Bhopal,3.7
Doc121,Anusha Sodhi,Neurologist,18,Hyderabad,3.6
Doc122,Victor Som,Neurologist,18,Delhi,3.7
Doc123,Jai Bath,Pediatrician,20,Agra,4.6
Doc124,Harsh Tak,Neurologist,20,Pune,1.8
Doc125,Lucky Pandey,Dermatologist,13,Chennai,3.2
Doc126,Laban Palan,Orthopedic,10,Bangalore,3.0
Doc127,Pahal Buch,Orthopedic,4,Bhopal,4.9
Doc128,Garima Palla,Orthopedic,2,Chennai,2.7
Doc129,Damyanti Krishnan,Orthopedic,21,Ahmedabad,4.2
Doc130,Oscar Kashyap,Pediatrician,12,Agra,3.9
Doc131,Vedhika Barad,Orthopedic,38,Pune,1.6
Doc132,Jagat Vora,Pediatrician,14,Delhi,5.0
Doc133,Neelima Balakrishnan,Orthopedic,8,Delhi,1.6
Doc134,Fariq Sule,Orthopedic,7,Mumbai,1.4
Doc135,Vaishnavi Din,Neurologist,38,Bhopal,2.7
Doc136,Gaurangi Shetty,Pediatrician,34,Bhopal,3.9
